FechaHora,C1,P2,L1,L2,D1,D2
24/05/2002 00:00:00.032000, 32254084.06309, 32254088.11909, -5302473.67709, -4013539.57109,    -1793.15300,    -1397.26600
24/05/2002 00:00:30.032000, 32264367.53309, 32264371.83508, -5248433.59808, -3971430.40708,    -1810.04400,    -1410.42300
24/05/2002 00:01:00.032000, 32274746.72309, 32274750.88408, -5193891.25108, -3928929.85908,    -1826.60800,    -1423.33300
24/05/2002 00:01:30.032000, 32285221.66609, 32285225.59308, -5138845.37608, -3886036.96408,    -1843.37300,    -1436.39500
24/05/2002 00:02:00.032000, 32295791.43909, 32295795.44809, -5083300.90509, -3842755.55309,    -1859.75200,    -1449.15800
24/05/2002 00:02:30.032000, 32306454.94109, 32306459.31309, -5027262.44509, -3799089.19409,    -1876.05700,    -1461.86300
24/05/2002 00:03:00.032000, 32317212.61309, 32317216.90309, -4970729.85909, -3755037.82309,    -1892.56300,    -1474.72400
24/05/2002 00:03:30.032000, 32328064.20409, 32328068.79908, -4913706.56408, -3710604.07808,    -1908.91700,    -1487.47000
24/05/2002 00:04:00.032000, 32339008.58009, 32339012.74208, -4856190.50008, -3665786.35008,    -1925.41900,    -1500.32800
24/05/2002 00:04:30.032000, 32350046.85609, 32350050.86408, -4798185.26508, -3620587.45508,    -1941.57600,    -1512.91700
24/05/2002 00:05:00.032000, 32361178.11309, 32361181.93508, -4739690.03208, -3575006.74608,    -1958.28100,    -1525.93300
24/05/2002 00:05:30.032000, 32372402.02009, 32372405.64308, -4680709.52308, -3529047.90208,    -1974.20800,    -1538.34300
24/05/2002 00:06:00.032000, 32383718.01909, 32383721.73508, -4621241.26308, -3482708.98208,    -1990.32300,    -1550.90300
24/05/2002 00:06:30.032000, 32395127.08909, 32395131.67308, -4561286.33608, -3435990.85608,    -2006.53800,    -1563.53700
24/05/2002 00:07:00.032000, 32406628.52309, 32406632.61408, -4500847.23408, -3388895.43808,    -2022.88100,    -1576.27200
24/05/2002 00:07:30.032000, 32418220.82609, 32418225.32708, -4439928.23808, -3341426.07808,    -2038.82900,    -1588.69900
24/05/2002 00:08:00.032000, 32429905.84709, 32429909.98508, -4378524.30608, -3293578.85608,    -2054.98400,    -1601.28600
24/05/2002 00:08:30.000000, 22548530.23509, 22548534.50208, -4316641.35608, -3245358.36408,    -2070.51100,    -1613.38500
24/05/2002 00:09:00.000000, 22560397.45609, 22560401.88708, -4254280.28908, -3196765.32508,    -2086.63000,    -1625.94700
24/05/2002 00:09:30.000000, 22572354.60009, 22572358.65608, -4191444.25308, -3147802.16908,    -2102.39900,    -1638.23500
24/05/2002 00:10:00.000000, 22584402.11909, 22584405.84708, -4128133.80808, -3098469.34608,    -2118.11800,    -1650.48200
24/05/2002 00:10:30.000000, 22596540.34509, 22596544.07208, -4064349.19708, -3048767.04408,    -2133.99000,    -1662.85200
24/05/2002 00:11:00.000000, 22608767.43309, 22608771.50108, -4000095.85108, -2998699.49408,    -2149.71700,    -1675.10300
24/05/2002 00:11:30.000000, 22621084.26509, 22621087.55908, -3935369.85408, -2948263.64608,    -2165.32700,    -1687.26800
24/05/2002 00:12:00.000000, 22633490.93108, 22633495.04508, -3870171.60908, -2897459.81108,    -2181.07700,    -1699.53900
24/05/2002 00:12:30.000000, 22645986.46908, 22645991.41608, -3804505.22308, -2846291.19608,    -2196.39600,    -1711.47600
24/05/2002 00:13:00.000000, 22658571.78508, 22658576.58008, -3738368.77908, -2794756.31408,    -2212.27100,    -1723.85000
24/05/2002 00:13:30.000000, 22671246.21108, 22671250.29108, -3671765.00108, -2742857.25008,    -2227.84800,    -1735.98500
24/05/2002 00:14:00.000000, 22684008.76309, 22684012.71408, -3604700.57408, -2690599.25308,    -2242.89500,    -1747.70800
24/05/2002 00:14:30.000000, 22696858.04409, 22696861.72408, -3537174.79408, -2637981.75608,    -2258.43100,    -1759.81500
24/05/2002 00:15:00.000000, 22709796.09409, 22709799.91508, -3469184.43808, -2585002.25408,    -2273.90600,    -1771.87500
24/05/2002 00:15:30.000000, 22722820.53808, 22722824.78108, -3400739.62208, -2531668.62908,    -2289.17300,    -1783.77200
24/05/2002 00:16:00.000000, 22735931.77708, 22735935.99708, -3331840.54808, -2477981.03208,    -2304.19200,    -1795.47400
24/05/2002 00:16:30.000000, 22749129.66708, 22749134.25008, -3262485.10808, -2423937.83108,    -2319.36300,    -1807.29300
24/05/2002 00:17:00.000000, 22762415.09208, 22762419.68708, -3192669.08808, -2369535.73908,    -2334.88400,    -1819.38900
24/05/2002 00:17:30.000000, 22775786.89908, 22775790.92007, -3122400.19807, -2314780.75107,    -2349.92700,    -1831.11000
24/05/2002 00:18:00.000000, 22789245.33508, 22789249.41507, -3051676.64107, -2259671.48507,    -2364.78700,    -1842.68900
24/05/2002 00:18:30.000000, 22802788.88908, 22802793.20308, -2980505.46608, -2204213.42708,    -2379.86000,    -1854.44000
24/05/2002 00:19:00.000000, 22816417.27709, 22816421.42708, -2908889.53508, -2148408.81108,    -2394.63700,    -1865.95300
24/05/2002 00:19:30.000000, 22830129.33208, 22830133.00108, -2836829.14108, -2092257.84208,    -2409.49800,    -1877.53100
24/05/2002 00:20:00.000000, 22843926.61008, 22843930.70108, -2764326.21708, -2035762.04108,    -2423.96900,    -1888.80800
24/05/2002 00:20:30.000000, 22857807.08108, 22857810.75007, -2691382.38807, -1978922.68307,    -2438.73700,    -1900.31500
24/05/2002 00:21:00.000000, 22871771.75308, 22871775.79707, -2617996.80107, -1921739.11407,    -2453.34700,    -1911.69900
24/05/2002 00:21:30.000000, 22885819.35708, 22885823.65907, -2544176.81907, -1864217.05407,    -2467.91400,    -1923.04900
24/05/2002 00:22:00.000000, 22899949.52108, 22899953.13107, -2469922.37507, -1806356.45207,    -2482.49600,    -1934.41100
24/05/2002 00:22:30.000000, 22914162.58508, 22914166.34808, -2395231.41508, -1748155.68908,    -2497.02000,    -1945.72700
24/05/2002 00:23:00.000000, 22928458.73008, 22928463.25507, -2320105.17007, -1689615.75507,    -2511.32000,    -1956.87400
24/05/2002 00:23:30.000000, 22942836.35208, 22942840.65407, -2244549.44507, -1630741.16607,    -2525.88100,    -1968.22100
24/05/2002 00:24:00.000000, 22957295.50207, 22957299.05407, -2168565.08307, -1571532.56607,    -2539.59600,    -1978.90600
24/05/2002 00:24:30.000000, 22971835.87307, 22971840.25807, -2092155.69507, -1511992.77207,    -2554.26300,    -1990.33500
24/05/2002 00:25:00.000000, 22986458.13508, 22986462.49507, -2015315.97407, -1452117.67407,    -2568.38100,    -2001.33600
24/05/2002 00:25:30.000000, 23001160.60407, 23001164.75407, -1938053.33207, -1391913.01407,    -2582.50200,    -2012.33600
24/05/2002 00:26:00.000000, 23015944.17207, 23015948.59107, -1860365.59607, -1331377.11807,    -2596.61000,    -2023.33500
24/05/2002 00:26:30.000000, 23030806.83307, 23030811.30007, -1782262.14007, -1270517.29307,    -2610.42200,    -2034.09300
24/05/2002 00:27:00.000000, 23045749.41807, 23045753.47407, -1703736.69807, -1209328.63207,    -2624.33300,    -2044.93800
24/05/2002 00:27:30.000000, 23060771.77708, 23060775.32907, -1624794.53407, -1147815.24807,    -2638.18900,    -2055.73200
24/05/2002 00:28:00.000000, 23075873.00408, 23075876.43807, -1545437.11107, -1085978.27207,    -2652.53900,    -2066.91700
24/05/2002 00:28:30.000000, 23091052.51307, 23091056.56907, -1465668.57807, -1023820.98107,    -2665.38400,    -2076.92300
24/05/2002 00:29:00.000000, 23106309.10207, 23106313.06407, -1385492.90207,  -961346.43607,    -2679.28200,    -2087.75200
24/05/2002 00:29:30.000000, 23121642.66107, 23121647.01007, -1304914.65107,  -898558.19807,    -2692.58500,    -2098.12300
