Seconds,lpg2-27-L1,lpg2-27-L2,lpg2-27-C1,lpg2-27-P1,lpg2-27-P2,lpg2-02-L1,lpg2-02-L2,lpg2-02-C1,lpg2-02-P1,lpg2-02-P2,lpg2-08-L1,lpg2-08-L2,lpg2-08-C1,lpg2-08-P1,lpg2-08-P2,lpg2-10-L1,lpg2-10-L2,lpg2-10-C1,lpg2-10-P1,lpg2-10-P2,lpg2-28-L1,lpg2-28-L2,lpg2-28-C1,lpg2-28-P1,lpg2-28-P2,lpgs-27-L1,lpgs-27-L2,lpgs-27-C1,lpgs-27-P1,lpgs-27-P2,lpgs-02-L1,lpgs-02-L2,lpgs-02-C1,lpgs-02-P1,lpgs-02-P2,lpgs-08-L1,lpgs-08-L2,lpgs-08-C1,lpgs-08-P1,lpgs-08-P2,lpgs-10-L1,lpgs-10-L2,lpgs-10-C1,lpgs-10-P1,lpgs-10-P2,lpgs-28-L1,lpgs-28-L2,lpgs-28-C1,lpgs-28-P1,lpgs-28-P2
8610,-21052400.533,-16404465.667,19856390.967,19856391.582,19856390.644,-1696607.151,-1322032.054,24025625.013,24025622.665,24025623.883,-14694542.064,-11450290.638,20845709.608,20845710.657,20845709.447,-1976458.783,-1540097.614,23772122.293,23772122.544,23772123.368,-1515586.922,-1180976.277,23977808.044,23977808.195,23977808.799,-22456824.142,-17498821.403,19856380.338,19856377.878,19856379.747,-2261793.713,-1762436.730,24025615.219,24025611.719,24025614.890,-15079523.234,-11750276.232,20845700.635,20845698.720,20845700.183,-2740794.861,0.000,23772108.750,0.000,23772107.104,-2111056.938,-1644979.181,23977801.250,23977800.475,23977802.097
8640,-21056270.533,-16407481.248,19855654.660,19855655.124,19855654.580,-1659846.850,-1293387.676,24032619.733,24032617.330,24032619.366,-14730192.603,-11478070.266,20838926.599,20838926.255,20838925.601,-2075797.414,-1617504.330,23753219.573,23753219.702,23753218.615,-1634437.399,-1273586.992,23955191.333,23955190.980,23955189.647,-22460687.224,-17501831.596,19855644.888,19855642.689,19855644.673,-2225026.294,-1733786.789,24032610.348,24032608.576,24032611.654,-15115166.878,-11778050.486,20838918.747,20838916.076,20838917.754,-2840126.483,-2213085.272,23753207.009,23753206.114,23753206.892,-2229900.364,-1737584.444,23955188.803,23955185.904,23955186.765
8670,-21059690.212,-16410145.927,19855004.459,19855004.433,19855003.701,-1622724.285,-1264461.031,24039683.136,24039681.813,24039683.730,-14765425.653,-11505524.580,20832221.176,20832221.648,20832220.536,-2174931.350,-1694751.529,23734355.673,23734355.548,23734353.712,-1753242.420,-1366162.323,23932585.026,23932583.594,23932583.159,-22464105.995,-17504495.564,19854994.412,19854992.088,19854994.012,-2187902.607,-1704859.248,24039675.482,24039672.194,24039674.589,-15150399.045,-11805504.118,20832213.409,20832211.479,20832212.894,-2939259.369,0.000,23734343.530,0.000,23734342.198,-2348704.442,-1830159.008,23932580.286,23932578.742,23932579.714
8700,-21062663.847,-16412463.040,19854437.937,19854438.534,19854437.832,-1585244.646,-1235256.159,24046813.397,24046815.990,24046815.338,-14800244.748,-11532656.324,20825595.804,20825596.149,20825595.158,-2273861.093,-1771839.614,23715527.555,23715529.415,23715527.965,-1872002.384,-1458702.534,23909985.915,23909981.612,23909984.381,-22467091.976,-17506822.300,19854425.873,19854423.938,19854425.726,-2150435.117,-1675663.813,24046805.012,24046802.429,24046806.209,-15185230.520,-11832645.514,20825586.175,20825583.469,20825585.375,-3038201.339,-2367429.344,23715514.773,23715515.542,23715515.101,-2467476.718,-1922708.790,23909979.150,23909976.339,23909979.367
8730,-21065197.672,-16414437.445,19853955.975,19853956.475,19853955.453,-1547415.676,-1205778.984,24054013.445,24054012.453,24054015.512,-14834656.017,-11559470.289,20819047.305,20819048.095,20819046.771,-2372589.423,-1848770.766,23696740.065,23696741.694,23696741.771,-1990719.590,-1551209.460,23887392.081,23887393.000,23887392.239,-22469617.623,-17508790.331,19853945.827,19853943.461,19853945.462,-2112597.712,-1646180.128,24054005.723,24054004.818,24054003.310,-15219633.632,-11859453.125,20819039.333,20819036.833,20819038.572,-3136921.336,-2444354.047,23696730.344,23696729.774,23696728.606,-2586185.678,-2015209.312,23887388.994,23887385.771,23887388.706
8760,-21067292.794,-16416070.007,19853557.135,19853557.730,19853556.717,-1509239.482,-1176031.311,24061281.229,24061277.947,24061279.908,-14868659.879,-11585966.796,20812576.039,20812577.121,20812575.640,-2471113.487,-1925542.764,23677993.881,23677993.233,23677992.229,-2109391.074,-1643680.732,23864809.747,23864809.524,23864809.945,-22471701.169,-17510413.869,19853549.425,19853546.888,19853549.052,-2074409.721,-1616423.242,24061271.002,24061267.135,24061271.340,-15253625.944,-11885940.631,20812570.185,20812568.266,20812569.497,-3235433.710,-2521116.906,23677983.871,23677982.567,23677983.813,-2704845.525,-2107671.525,23864808.279,23864806.272,23864809.384
8790,-21068947.177,-16417359.126,19853242.149,19853242.838,19853242.044,-1470715.305,-1146012.459,24068609.873,24068607.567,24068610.338,-14902253.268,-11612143.450,20806183.700,20806184.301,20806182.953,-2569427.513,-2002151.088,23659285.774,23659285.157,23659283.604,-2228011.310,-1736112.080,23842239.524,23842237.875,23842237.757,-22473347.060,-17511696.377,19853235.843,19853233.838,19853235.536,-2035876.845,-1586397.644,24068606.406,24068603.369,24068605.936,-15287210.871,-11912110.693,20806179.851,20806177.202,20806179.486,-3333739.131,-2597718.535,23659276.145,23659275.063,23659274.931,-2823457.212,-2200096.195,23842238.909,23842234.495,23842238.500
8820,-21070154.916,-16418300.210,19853012.780,19853012.906,19853012.331,-1431838.401,-1115718.774,24076007.295,24076008.294,24076008.372,-14935430.236,-11637995.629,20799869.757,20799870.539,20799869.824,-2667522.110,-2078588.420,23640618.431,23640618.485,23640617.748,-2346570.252,-1828495.653,23819678.066,23819676.771,23819677.805,-22474562.980,-17512643.832,19853005.076,19853002.255,19853004.197,-1997007.842,-1556110.138,24076001.314,24075998.793,24076002.321,-15320396.044,-11937969.262,20799864.404,20799862.111,20799864.118,-3431841.810,-2674162.155,23640607.401,23640605.943,23640608.290,-2942024.278,-2292486.110,23819678.128,23819673.675,23819676.656
8850,-21070919.024,-16418895.612,19852867.712,19852867.694,19852866.926,-1392612.962,-1085153.558,24083474.685,24083469.513,24083473.767,-14968193.087,-11663525.113,20793636.006,20793636.000,20793635.467,-2765396.568,-2154854.206,23621993.443,23621993.855,23621992.692,-2465067.036,-1920830.828,23797127.349,23797127.006,23797126.584,-22475336.251,-17513246.379,19852857.337,19852855.241,19852857.148,-1957791.376,-1525551.860,24083466.505,24083462.317,24083464.787,-15353168.093,-11963505.911,20793627.913,20793625.675,20793627.663,-3529725.299,-2750434.982,23621981.949,23621979.870,23621981.222,-3060530.215,-2384828.378,23797125.717,23797122.315,23797125.331
8880,-21071248.797,-16419152.575,19852804.429,19852805.091,19852804.285,-1353049.571,-1054324.958,24091000.380,24090999.392,24091000.852,-15000550.699,-11688738.830,20787478.410,20787478.850,20787477.690,-2863056.542,-2230952.875,23603408.404,23603409.857,23603408.196,-2583507.001,-2013121.692,23774590.707,23774587.754,23774588.895,-22475681.828,-17513515.655,19852791.241,19852788.989,19852791.093,-1918243.585,-1494735.407,24090991.481,24090988.039,24090989.596,-15385541.541,-11988731.966,20787467.591,20787465.254,20787467.072,-3627400.963,-2826545.876,23603395.071,23603392.150,23603393.324,-3178985.947,-2477131.546,23774582.597,23774580.650,23774583.430
